slot_key,block_key,position,template_path,conditions.productCategory.all,conditions.productCategory.skus,conditions.productCategory.category_key,conditions.category.all,conditions.category.category_key,conditions.cms_page.all,conditions.cms_page.page_key
slt-2,blck-9,1,@HomePage/views/home/home.twig,,,,,,,
slt-3,blck-10,1,@HomePage/views/home/home.twig,,,,,,,
slt-3,blck-2,2,@HomePage/views/home/home.twig,,,,,,,
slt-4,blck-3,1,@HomePage/views/home/home.twig,,,,,,,
slt-4,blck-4,2,@HomePage/views/home/home.twig,,,,,,,
slt-4,blck-5,3,@HomePage/views/home/home.twig,,,,,,,
slt-5,blck-11,1,@HomePage/views/home/home.twig,,,,,,,
slt-5,blck-1,2,@HomePage/views/home/home.twig,,,,,,,
slt-7,blck-7,1,@CatalogPage/views/catalog-with-cms-slot/catalog-with-cms-slot.twig,,,,0,"100-cer,300-cer,308-cer,310-cer,301-cer,400-cer,401-cer,406-cer,403-cer,200-cer,1002577-cer,1005254-cer,74045-cer,1002760-cer,1005251-cer,63685-cer,1005263-cer,100267-cer,1005271-cer,74043-cer,1002772-cer,1002574-cer,1002666-cer,1207565-cer,1002660-cer,800-cer,808-cer,810-cer,803-cer,1002576-cer,1002752-cer,1002745-cer,product-bundles",,
slt-8,blck-6,1,@CatalogPage/views/catalog-with-cms-slot/catalog-with-cms-slot.twig,,,,0,"100-cer,300-cer,308-cer,310-cer,301-cer,400-cer,401-cer,406-cer,403-cer,200-cer,1002577-cer,1005254-cer,74045-cer,1002760-cer,1005251-cer,63685-cer,1005263-cer,100267-cer,1005271-cer,74043-cer,1002772-cer,1002574-cer,1002666-cer,1207565-cer,1002660-cer,800-cer,808-cer,810-cer,803-cer,1002576-cer,1002752-cer,1002745-cer,product-bundles",,
slt-9,blck-8,2,@ProductDetailPage/views/pdp/pdp.twig,0,"M21190,M21759,M22796,M24418,M24637,M1016129,M29455,M29524,M29525,M29529,M29530,M29930,M21692,M22663",,,,,
slt-desktop-header,blck-nav-desktop,1,@ShopUi/templates/page-layout-main/page-layout-main.twig,,,,,,,
slt-footer-partners,blck-nav-footer-1,1,@ShopUi/templates/page-layout-main/page-layout-main.twig,,,,,,,
slt-footer-navigation,blck-nav-footer-2,2,@ShopUi/templates/page-layout-main/page-layout-main.twig,,,,,,,
slt-footer-social-links,blck-nav-footer-3,3,@ShopUi/templates/page-layout-main/page-layout-main.twig,,,,,,,
slt-mobile-header,blck-nav-mobile,1,@ShopUi/templates/page-layout-main/page-layout-main.twig,,,,,,,
slt-footer-checkout-navigation,blck-nav-footer-4,4,@CheckoutPage/templates/page-layout-checkout/page-layout-checkout.twig,,,,,,,
