company_role_key,company_user_key
Ottom_Admin,Ottom--1
Ottom_Buyer,Ottom--1
Ottom_Buyer,Ottom--2
Ottom_Buyer,Ottom--3
Ottom_Buyer,Ottom--4
Ottom_Buyer,Ottom--5
Ottom_Buyer,Ottom--6
Ottom_Approver,Ottom--7
Ottom_Buyer_With_Limit,Ottom--8
Spryker_Admin,Spryker--1
Spryker_Buyer,Spryker--2
Spryker_Buyer,Spryker--3
Spryker_Buyer,Spryker--4
Spryker_Buyer,Spryker--5
Spryker_Buyer,Spryker--6
Spryker_Buyer,Spryker--7
Spryker_Buyer,Spryker--8
Spryker_Admin,Spryker--8
Spryker_Approver,Spryker--9
Spryker_Buyer_With_Limit,Spryker--10
Spryker_Buyer_With_Limit,Spryker--11
Spryker_Approver,Spryker--11
