product_list_key,concrete_sku
pl-002,100907
pl-002,103296
pl-002,673327
pl-002,100949
pl-002,104190
pl-002,104192
pl-002,104523
pl-002,100588
pl-002,102988
pl-002,107403
pl-002,101007
pl-002,100999
pl-002,102180
pl-002,102708
pl-002,102712
pl-002,102976
pl-002,103388
pl-002,104151
pl-002,104440
pl-002,107396
pl-002,102935
pl-002,102936
pl-002,100223
pl-002,100266
pl-002,102924
pl-002,102925
pl-002,102775
pl-002,102779
pl-002,101226
pl-002,100107
pl-002,101828
pl-002,107061
pl-001,422573
pl-001,422721
pl-001,422722
pl-001,422741
pl-001,422743
pl-001,422745
pl-001,422780
pl-001,422855
pl-001,423105
pl-001,423172
pl-001,423173
pl-001,423174
pl-001,423175
pl-001,423178
pl-001,423237
pl-001,423383
pl-001,423452
pl-001,423456
pl-004,103907
pl-004,574995
pl-004,103890
pl-004,575186
pl-004,575058
pl-004,575060
pl-004,575061
pl-004,414097
pl-004,414098
pl-004,575057
pl-004,575065
pl-004,103905
pl-004,103889
pl-004,575056
pl-004,575059
