sales_unit_key,concrete_sku,code,conversion,precision,is_displayed,is_default
sales_unit_1,425079,ITEM,1,1,1,1
sales_unit_2,425079,METR,0.33333333,1,1,0
sales_unit_3,425079,CMET,0.00333333,1,1,0
sales_unit_4,425078,ITEM,1,1,0,1
sales_unit_5,425078,METR,0.2,1,1,0
sales_unit_6,425078,CMET,0.002,1,1,0
sales_unit_7,425082,METR,1,1,1,1
sales_unit_8,425082,CMET,0.01,1,1,0
sales_unit_9,421519,ITEM,1,1,1,1
sales_unit_10,421519_1,ITEM,1,1,1,1
sales_unit_11,421519_2,ITEM,1,1,1,1
sales_unit_12,421519_3,ITEM,1,1,1,1
sales_unit_fish-kilo,fish-1-1,KILO,1,1000,1,1
sales_unit_potato-kilo,potato-1-1,KILO,1,1000,1,1
sales_unit_hdmi-cable-meter-1,cable-hdmi-1-1,METR,1,100,1,0
sales_unit_hdmi-cable-meter-2,cable-hdmi-1-2,METR,1,100,1,1
sales_unit_hdmi-cable-centi,cable-hdmi-1-2,CMET,0.01,10,1,0
sales_unit_vga-cable-meter-1,cable-vga-1-1,METR,1,100,1,0
sales_unit_vga-cable-meter-2,cable-vga-1-2,METR,1,100,1,1
sales_unit_vga-cable-centi,cable-vga-1-2,CMET,0.01,10,1,0
