shipment_method_key,name,carrier,taxSetName
spryker_dummy_shipment-standard,Standard,DHL,Shipment Taxes
spryker_dummy_shipment-express,Express,DHL,Shipment Taxes
spryker_drone_shipment-air_standard,Standard,Hermes,Shipment Taxes
spryker_drone_shipment-air_sonic,Same Day,Hermes,Shipment Taxes
spryker_drone_shipment-air_light,Next Day,Hermes,Shipment Taxes
spryker_ups_ground,Ground,UPS,Shipment Taxes
spryker_ups_3dayselect,3 Day Select,UPS,Shipment Taxes
spryker_fedex_2day,2 Day,FedEx,Shipment Taxes
spryker_fedex_overnight,Overnight,FedEx,Shipment Taxes
spryker_fedex_sameday,Same Day,FedEx,Shipment Taxes
spryker_no_shipment,NoShipment,NoShipment,Tax Exempt
