concrete_sku,lead_product_sku,packaging_unit_type_name,default_amount,is_amount_variable,amount_min,amount_max,amount_interval
421519,421519_1,packaging_unit_type.item.name,1,0,,,
421519_1,421519_1,packaging_unit_type.pack_5.name,5,0,,,
421519_2,421519_1,packaging_unit_type.pack_10.name,10,0,,,
421519_3,421519_1,packaging_unit_type.box.name,15,1,10,50,5
fish-1-1,fish-1-1,packaging_unit_type.fish.name,37.44,0,,,
potato-1-1,potato-1-1,packaging_unit_type.bulk.name,1,1,1,10,0.1
cable-hdmi-1-1,cable-hdmi-1-1,packaging_unit_type.ring.name,1.5,0,,,
cable-hdmi-1-2,cable-hdmi-1-2,packaging_unit_type.bulk.name,0.5,1,0.5,100,0.5
cable-vga-1-1,cable-vga-1-2,packaging_unit_type.ring.name,1.5,0,,,
cable-vga-1-2,cable-vga-1-2,packaging_unit_type.bulk.name,0.5,1,0.5,100,0.5
